"period","seriesId","seriesDescription","unit","DC_value","MD_value","VA_value"
"2022","ESTCV","Electricity total expenditures","Million dollars",1529.7,7950.3,14215
"2022","TNCCB","End-use energy consumption in the commercial sector","Billion Btu",43149,193795,355677
"2022","TNICB","End-use energy consumption in the industrial sector","Billion Btu",4238,67377,325342
"2022","TNRCB","End-use energy consumption in the residential sector","Billion Btu",21920,213344,298936
"2022","TNACB","End-use energy consumption in the transportation sector","Billion Btu",16358,393408,735714
"2022","TEGDS","Energy expenditures as percent of current-dollar GDP","Percent",1.55,5.12,6.38
"2022","BDLCB","Energy losses and co-products from the production of biodiesel","Billion Btu",0,0,2
"2022","EMLCB","Energy losses and co-products from the production of fuel ethanol","Billion Btu",NA,0,0
"2022","EQICP","Ethane consumed by the industrial sector","Thousand barrels",0,0,0
"2022","EQICB","Ethane consumed by the industrial sector","Billion Btu",0,0,0
"2022","EQTCP","Ethane total consumption","Thousand barrels",0,0,NA
"2022","EQTCB","Ethane total consumption","Billion Btu",0,0,0
"2022","EYICB","Ethylene from refineries consumed by the industrial sector","Billion Btu",0,0,0
"2022","EYICP","Ethylene from refineries consumed by the industrial sector","Thousand barrels",0,0,0
"2022","EYTCP","Ethylene from refineries total consumption","Thousand barrels",0,0,0
"2022","EYTCB","Ethylene from refineries total consumption","Billion Btu",0,0,0
"2022","BDEIK","Factor for converting biodiesel consumed by the electric power sector from physical units to Btu","Million Btu per barrel",0,0,4.975
"2022","BDTCK","Factor for converting biodiesel total consumption from physical units to Btu","Million Btu per barrel",5.359,5.359,5.359
"2022","CLKCK","Factor for converting coal consumed at coke plants from physical units to Btu","Million Btu per short ton",0,0,29.141
"2022","CLOCK","Factor for converting coal consumed by industrial users other than coke plants from physical units to Btu","Million Btu per short ton",0,22.193,25.887
"2022","CLEIK","Factor for converting coal consumed by the electric power sector from physical units to Btu","Million Btu per short ton",0,24.77,20.462
"2022","CLHCK","Factor for converting coal consumed by the residential and commercial sectors from physical units to Btu","Million Btu per short ton",0,0,26.991
"2022","CLACK","Factor for converting coal consumed by the transportation sector from physical units to Btu","Million Btu per short ton",0,0,0
"2022","COPRK","Factor for converting crude oil production from physical units to Btu for the United States","Million Btu per barrel",0,0,5.684
"2022","NGMPK","Factor for converting marketed natural gas production from physical units to Btu","Thousand Btu per cubic feet",NA,1.039,NA
"2022","NGEIK","Factor for converting natural gas consumed by the electric power sector from physical units to Btu","Thousand Btu per cubic foot",0,1.039,1.043
"2022","NGTCK","Factor for converting natural gas total consumption from physical units to Btu","Thousand Btu per cubic foot",1.034,1.039,1.049
"2022","NGTXK","Factor for converting natural gas used by end-use sectors from physical units to Btu","Thousand Btu per cubic foot",1.034,1.039,1.057
"2022","FFTCE","Fossil fuel CO2 emissions for all sectors","Million metric tons CO2",NA,NA,96.4
"2022","FFICE","Fossil fuel CO2 emissions for the industrial sector","Million metric tons CO2",NA,2.7,NA
"2022","FFACE","Fossil fuel CO2 emissions for the transportation sector","Million metric tons CO2",NA,25.9,NA
"2022","FFGBP","Fossil fuel total generating units net summer capacity in all sectors","Thousand kilowatts",21,8760,17876
"2022","FFTCB","Fossil fuels total consumption","Billion Btu",48174,783906,1531770
"2022","EMFDB","Fuel ethanol production (total biomass inputs as feedstock), including liquids and losses & co-products","Billion Btu",0,0,0
"2022","EMCCB","Fuel ethanol, excluding denaturant, consumed by the commercial sector ","Billion Btu",29,683,888
"2022","EMICB","Fuel ethanol, excluding denaturant, consumed by the industrial sector ","Billion Btu",14,222,285
"2022","EMACB","Fuel ethanol, excluding denaturant, consumed by the transportation sector   ","Billion Btu",825,18968,31506
"2022","ENCCP","Fuel ethanol, including denaturant, consumed by the commercial sector","Thousand barrels",8,NA,NA
"2022","ENICP","Fuel ethanol, including denaturant, consumed by the industrial sector","Thousand barrels",4,NA,82
"2022","ENACP","Fuel ethanol, including denaturant, consumed by the transportation sector","Thousand barrels",NA,5447,NA
"2022","ENTCP","Fuel ethanol, including denaturant, total consumption","Thousand barrels",249,5707,9385
"2022","GEEGP","Geothermal electricity net generation in the electric power sector","Million kilowatthours",0,0,0
"2022","GECCB","Geothermal energy consumed by the commercial sector","Billion Btu",0,0,885
"2022","GEICB","Geothermal energy consumed by the industrial sector","Billion Btu",0,0,0
"2022","GERCB","Geothermal energy consumed by the residential sector","Billion Btu",22,570,816
"2022","GEEGB","Geothermal energy consumed for electricity generation by the electric power sector","Billion Btu",0,0,0
"2022","GETCB","Geothermal energy total consumption","Billion Btu",22,570,1701
"2022","GETXB","Geothermal energy total end-use consumption","Billion Btu",22,570,1701
"2022","GECAS","Geothermal generating units capacity factor","Percent",0,0,0
"2022","GEGBP","Geothermal generating units net summer capacity in all sectors","Thousand kilowatts",0,0,0
"2022","ZWHDP","Heating degree days (HDD)","Days",3736,4517,4233
"2022","HLTXD","Hydrocarbon gas liquids average price, all end-use sectors","Dollars per million Btu",NA,29.99,28.1
"2022","HLTCD","Hydrocarbon gas liquids average price, all sectors","Dollars per million Btu",27.62,29.99,28.1
"2022","HLRFB","Hydrocarbon gas liquids consumed as refinery fuel and intermediate products","Billion Btu",NA,0,NA
"2022","HLCCB","Hydrocarbon gas liquids consumed by the commercial sector","Billion Btu",12,3332,7828
"2022","HLCCP","Hydrocarbon gas liquids consumed by the commercial sector","Thousand barrels",3,868,NA
"2022","HLICB","Hydrocarbon gas liquids consumed by the industrial sector","Billion Btu",45,2002,4952
"2022","HLICP","Hydrocarbon gas liquids consumed by the industrial sector","Thousand barrels",12,521,1289
"2022","HLISB","Hydrocarbon gas liquids consumed by the industrial sector adjusted for processed fuel","Billion Btu",45,2002,NA
"2022","HLRCB","Hydrocarbon gas liquids consumed by the residential sector","Billion Btu",40,6700,NA
"2022","HLRCP","Hydrocarbon gas liquids consumed by the residential sector","Thousand barrels",10,1744,3007
"2022","HLACP","Hydrocarbon gas liquids consumed by the transportation sector","Thousand barrels",1,45,52
"2022","HLACB","Hydrocarbon gas liquids consumed by the transportation sector","Billion Btu",2,172,200
"2022","HLCCV","Hydrocarbon gas liquids expenditures in the commercial sector","Million dollars",NA,74.6,167.8
"2022","HLICV","Hydrocarbon gas liquids expenditures in the industrial sector","Million dollars",1,42.8,98.6
"2022","HLRCV","Hydrocarbon gas liquids expenditures in the residential sector","Million dollars",1.5,NA,417.9
"2022","HLACV","Hydrocarbon gas liquids expenditures in the transportation sector","Million dollars",0.1,4.3,4.9
"2022","HLCCD","Hydrocarbon gas liquids price in the commercial sector","Dollars per million Btu",22.4,22.4,21.44
"2022","HLICD","Hydrocarbon gas liquids price in the industrial sector","Dollars per million Btu",21.38,21.38,19.91
"2022","HLRCD","Hydrocarbon gas liquids price in the residential sector","Dollars per million Btu",36.44,36.46,36.18
"2022","HLACD","Hydrocarbon gas liquids price in the transportation sector","Dollars per million Btu",23.36,25.1,24.7
"2022","HLTCP","Hydrocarbon gas liquids total consumption","Thousand barrels",26,3178,6387
"2022","HLTCB","Hydrocarbon gas liquids total consumption","Billion Btu",99,NA,24531
"2022","HLSCB","Hydrocarbon gas liquids total consumption adjusted for processed fuel","Billion Btu",99,12207,24531
"2022","HLTXB","Hydrocarbon gas liquids total end-use consumption","Billion Btu",NA,12207,24531
"2022","HLTXP","Hydrocarbon gas liquids total end-use consumption","Thousand barrels",26,3178,6387
"2022","HLTXV","Hydrocarbon gas liquids total end-use expenditures","Million dollars",2.7,366.1,689.3
"2022","HLTCV","Hydrocarbon gas liquids total expenditures","Million dollars",NA,366.1,NA
"2022","HPGBP","Hydroelectric pumped storage generating units net summer capacity in all sectors","Thousand kilowatts",0,0,3241
"2022","HPCAS","Hydroelectric pumped storage generating units usage factor","Percent",0,0,16.7
"2022","HYCCP","Hydroelectricity net generation in the commercial sector","Million kilowatthours",0,0,0
"2022","HYEGP","Hydroelectricity net generation in the electric power sector","Million kilowatthours",0,1780,1137
"2022","HYICP","Hydroelectricity net generation in the industrial sector","Million kilowatthours",0,0,0
"2022","HYTCP","Hydroelectricity total net generation","Million kilowatthours",0,1780,1137
"2022","HYTXP","Hydroelectricity, total end-use net generation","Million kilowatthours",0,0,0
"2022","HYCCB","Hydropower consumed by the commercial sector","Billion Btu",0,0,0
"2022","HYICB","Hydropower consumed by the industrial sector","Billion Btu",0,0,1
"2022","HYEGB","Hydropower consumed for electricity generation by the electric power sector","Billion Btu",0,6072,3878
"2022","HYTXB","Hydropower energy total end-use consumption","Billion Btu",0,0,1
"2022","HYTCB","Hydropower total consumption","Billion Btu",0,6072,3880
"2022","IQICP","Isobutane consumed by the industrial sector","Thousand barrels",0,0,0
"2022","IQICB","Isobutane consumed by the industrial sector","Billion Btu",0,0,0
"2022","IQTCB","Isobutane total consumption","Billion Btu",0,0,0
"2022","IQTCP","Isobutane total consumption","Thousand barrels",0,0,0
"2022","IYICP","Isobutylene from refineries consumed by the industrial sector","Thousand barrels",0,0,0
"2022","IYICB","Isobutylene from refineries consumed by the industrial sector","Billion Btu",0,0,0
"2022","IYTCB","Isobutylene from refineries total consumption","Billion Btu",0,0,0
"2022","IYTCP","Isobutylene from refineries total consumption","Thousand barrels",0,0,0
"2022","JFTXD","Jet fuel average price, all end-use sectors","Dollars per million Btu",0,27.03,24.88
"2022","JFTCD","Jet fuel average price, all sectors","Dollars per million Btu",0,27.03,24.88
"2022","JFACP","Jet fuel consumed by the transportation sector","Thousand barrels",0,6252,21634
"2022","JFACB","Jet fuel consumed by the transportation sector","Billion Btu",0,35449,122663
"2022","JFACV","Jet fuel expenditures in the transportation sector","Million dollars",0,958.3,3051.7
"2022","JFACD","Jet fuel price in the transportation sector","Dollars per million Btu",0,27.03,24.88
"2022","JFTCP","Jet fuel total consumption","Thousand barrels",0,6252,21634
"2022","JFTCB","Jet fuel total consumption","Billion Btu",0,35449,122663
"2022","JFTXP","Jet fuel total end-use consumption","Thousand barrels",0,6252,21634
"2022","JFTXB","Jet fuel total end-use consumption","Billion Btu",0,35449,122663
"2022","JFTXV","Jet fuel total end-use expenditures","Million dollars",0,958.3,3051.7
"2022","JFTCV","Jet fuel total expenditures","Million dollars",0,958.3,3051.7
"2022","KSTXD","Kerosene average price, all end-use sectors","Dollars per million Btu",34.8,38.82,37.15
"2022","KSTCD","Kerosene average price, all sectors","Dollars per million Btu",34.8,38.82,37.15
"2022","KSCCP","Kerosene consumed by the commercial sector","Thousand barrels",0,8,13
"2022","KSCCB","Kerosene consumed by the commercial sector","Billion Btu",0,47,71
"2022","KSICP","Kerosene consumed by the industrial sector","Thousand barrels",0,1,2
"2022","KSICB","Kerosene consumed by the industrial sector","Billion Btu",0,5,10
